Sample	#Read	Average	Total	Depth	Mapped_Depth	Mapped_rate	#Library	FileName
GN269_?	57990244	101	5857014644	15.7446630215	5.33681149194	0.338960032657	1	../../input/fastq/Bam/RIL269_0_CGTACG_FC1213L2.recal.bam
GN105_?	101828516	101	10284680116	27.6469895591	10.719759621	0.387736957691	1	../../input/fastq/Bam/RIL105_0_TAGCTT_FC1213L5.recal.bam
GN225_?	99788662	101	10078654862	27.0931582312	11.4495628145	0.422599783931	1	../../input/fastq/Bam/RIL225_0_GTTTCG_FC1213L2.recal.bam
GN235_?	31506874	101	3182194274	8.5542856828	4.08292065591	0.477295335615	1	../../input/fastq/Bam/RIL235_0_GGCTAC_FC1213L2.recal.bam
GN233_?	83562442	101	8439806642	22.6876522634	10.9319231532	0.481844618663	1	../../input/fastq/Bam/RIL233_0_GAGTGG_FC1213L7.recal.bam
GN150_?	39797368	101	4019534168	10.8051993763	5.75181723387	0.532319398609	2	../../input/fastq/Bam/RIL150_0_GTAGAG_FC251L1.recal.bam
GN176_?	46950520	101	4742002520	12.7473186022	6.92665194892	0.543381095673	1	../../input/fastq/Bam/RIL176_0_CCGTCC_FC1213L6.recal.bam
GN260_?	45829524	101	4628781924	12.4429621613	7.20110261559	0.578728965197	1	../../input/fastq/Bam/RIL260_0_ATGTCA_FC1213L1.recal.bam
GN252_?	88937958	101	8982733758	24.1471337581	14.82374475	0.613892518198	2	../../input/fastq/Bam/RIL252_0_CCGTCC_FC251L2.recal.bam
GN138_?	43940006	101	4437940606	11.9299478656	7.3245501371	0.613963298048	1	../../input/fastq/Bam/RIL138_0_GATCAG_FC1213L3.recal.bam
GN242_?	54364184	101	5490782584	14.7601682366	9.09998813978	0.616523334554	1	../../input/fastq/Bam/RIL242_0_CTTGTA_FC279L1.recal.bam
GN188_?	37216108	101	3758826908	10.1043734086	6.50943153763	0.644219218194	1	../../input/fastq/Bam/RIL188_0_GTTTCG_FC1213L6.recal.bam
GN174_?	70466488	101	7117115288	19.1320303441	12.3733188602	0.646733181878	1	../../input/fastq/Bam/RIL174_0_ATGTCA_FC1213L3.recal.bam
GN161_?	43348664	101	4378215064	11.7693953333	7.63069254032	0.648350431284	1	../../input/fastq/Bam/RIL161_0_GGCTAC_FC1213L3.recal.bam
GN224_?	34256214	101	3459877614	9.30074627419	6.03555854301	0.648932716266	1	../../input/fastq/Bam/RIL224_0_AGTTCC_FC1213L8.recal.bam
GN245_?	56549746	101	5711524346	15.3535600699	10.0328996183	0.653457541613	1	../../input/fastq/Bam/RIL245_0_AGTCAA_FC1213L2.recal.bam
GN123_?	58596244	101	5918220644	15.9091952796	10.6098626613	0.666901277836	1	../../input/fastq/Bam/RIL123_0_ACAGTG_FC197L5.recal.bam
