Lib1	Lib2	Similarity	Total_Shared_SNP_Site	Total_Same_SNP_Sites	Lib1_SNP	Lib2_SNP
RIL135_0_CGATGT_FC251L3	RIL132_0_CCGTCC_FC197L6	0.999777332443	4491	4490	4959	106754
RIL145_0_AGTTCC_FC251L3	RIL145_0_AGTTCC_FC1213L5	0.998674716537	13582	13564	15940	67381
RIL145_0_AGTTCC_FC251L3	RIL152_0_ATTCCT_FC197L3	0.981503501123	15138	14858	15940	118926
RIL206_0_GATCAG_FC251L3	RIL211_0_GCCAAT_FC0813L1	0.999938495602	81295	81290	82335	124252
RIL211_0_TAGCTT_FC251L3	RIL221_0_GTGAAA_FC197L6	0.99939497832	69419	69377	74672	111163
RIL217_0_CTTGTA_FC251L4	RIL169_0_CGATGT_FC205L2	0.997240514268	47835	47703	56422	108009
RIL217_0_CTTGTA_FC251L4	RIL218_0_CTTGTA_FC251L4	1.0	56184	56184	56422	88534
RIL218_0_ACAGTG_FC251L4	RIL219_0_ACAGTG_FC251L4	1.0	79257	79257	79747	99426
RIL219_0_GCCAAT_FC251L4	RIL209_0_GATCAG_FC205L2	0.999014368016	72035	71964	86416	102196
RIL219_0_GCCAAT_FC251L4	RIL228_0_GATCAG_FC271L3	0.998982687846	56030	55973	86416	70344
RIL219_0_GCCAAT_FC251L4	RIL250_0_GCCAAT_FC251L4	1.0	86366	86366	86416	86421
RIL278_0_TTAGGC_FC251L4	RIL217_0_TTAGGC_FC251L4	1.0	79623	79623	79818	113245
